autor,ano,titulo,resumo,doi
MARTINS M;SANTOS S K;VASQUEZ V,2021,"WOMEN AND THE COUNTRY OF FOOTBALL: INTERSECTIONS OF GENDER, CLASS, AND RACE IN BRAZIL; [AS MULHERES E O PAÍS DO FUTEBOL: INTERSECÇÕES DE GÊNERO, CLASSE E RAÇA NO BRASIL]; [LAS MUJERES Y EL PAÍS DEL FÚTBOL: INTERSECCIONANES DE GÉNERO, CLASE Y RAZA EN BRASIL]","THE FIELD OF RESEARCH ON WOMEN’S FOOTBALL HAS GROWN IN BRAZIL IN THE PAST TWO DECADES. HOWEVER, THERE IS STILL A GAP RELATED TO HOW CLASS AND RACE INTERSECT GENDER IN THE CONSTITUTION OF THAT PRACTICE. TO FILL THIS GAP, WE ANALYZED THE 2015 NATIONAL HOUSEHOLD SAMPLE SURVEY’S SPECIAL SPORTS SUPPLEMENT, BASED ON DESCRIPTIVE AND INFERENTIAL STATISTICS. WE DESCRIBE THE PROFILES OF WOMEN WHO PLAY FOOTBALL IN CONTEMPORARY BRAZIL AND COMPARE THEM TO THOSE OF MEN AND OTHER WOMEN WHO PLAY SPORTS OTHER THAN FOOTBALL. OUR RESULTS INDICATE THAT, IN COMPARISON TO WHAT OCCURS WITH WOMEN WHO PRACTICE SPORTS IN GENERAL, CLASS AND RACE HAVE THE OPPOSITE IMPACT ON ADHERENCE TO FOOTBALL. THE MAJORITY OF WOMEN WHO PRACTICE FOOTBALL COME FROM THE LOWER CLASSES AND ARE BLACK. BY INDICATING THIS RELATIONSHIP, WE DEMONSTRATE THE NEED TO PROMOTE RACIAL EQUALITY, DIVERSITY, AND INCLUSION OF BLACK WOMEN’S FOOTBALL NARRATIVES IN BRAZIL. © 2021, UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL. ALL RIGHTS RESERVED.",10.22456/1982-8918.109328
OLIVEIRA F;MEINERZ C,2019,RAÇA E GÊNERO NA PERSPECTIVA DOS PENSAMENTOS DE MULHERES NEGRAS,[NO ABSTRACT AVAILABLE],10.35786/1645-1384.v19.n2.01
ERNICA M;RODRIGUES E,2020,"EDUCATIONAL INEQUALITIES IN METROPOLISES: TERRITORY, SOCIOECONOMIC STATUS, RACE, AND GENDER; [DESIGUALDADES EDUCACIONAIS EM METRÓPOLES: TERRITÓRIO, NÍVEL SOCIOECONÔMICO, RAÇA E GÊNERO]; [DESIGUALDADES EDUCATIVAS EN METRÓPOLIS: TERRITÓRIO, CONDICIÓN SOCIOECONÓMICA, RAZA E GÉNERO]","THIS PAPER FOCUSES ON LEARNING INEQUALITIES BETWEEN SOCIAL GROUPS IN METROPOLISES. WE COULD IDENTIFY A PERSISTENT PATTERN THROUGHOUT THE CITY OF SÃO PAULO, ACCORDING TO WHICH THESE GROUPS PERFORM BETTER IN THE FOLLOWING ORDER: WHITE GIRLS, BROWN GIRLS, WHITE BOYS, BROWN BOYS, BLACK GIRLS, AND BLACK BOYS. THIS ORDER ALMOST DOES NOT CHANGE WITHIN THE DISTRICTS. NEVERTHELESS, THERE IS A VARIATION IN THIS PATTERN OF INEQUALITIES WITHIN THE DISTRICTS: WITHIN THE MOST UNEQUAL ONES, THE RACIAL DISADVANTAGES ARE MORE NOTICEABLE, AFFECTING BLACK GIRLS AND BOYS. ON THE OTHER HAND, IN THE MOST EQUITABLE DISTRICTS, THE BLACK BOYS’ DISADVANTAGES PERSIST WHILE BLACK GIRLS HAVE BETTER PERFORMANCE, APPROACHING THE WHITE AND BROWN BOYS. © 2020, CENTRO DE ESTUDOS EDUCACAO E SOCIEDADE - CEDES. ALL RIGHTS RESERVED.",10.1590/ES.228514
KODAMA K,2012,THE INDETERMINATE QUESTION OF RACE; [A INDETERMINADA QUESTÃO DA RAÇA],[NO ABSTRACT AVAILABLE],10.1590/S0104-59702012000500018
DA SILVA N,2014,"CULINARY AND FOOD IN THE WORKS OF GILBERTO FREYRE: RACE, IDENTITY AND MODERNITY; [CULINÁRIA E ALIMENTAÇÃO EM GILBERTO FREYRE: RAÇA, IDENTIDADE E MODERNIDADE]","THE SUBJECT OF FOODWAYS AND FOOD IS OMNIPRESENT AND DEVELOPED IN A VARIETY OF WAYS IN THE WORK OF GILBERTO FREYRE, AND DEMONSTRATES BOTH THE SCIENTIFIC PROJECT AND THE POLITICAL PROGRAM OF THE AUTHOR FROM PERNAMBUCO, BRAZIL, AS WELL AS HIS PIONEERING IDEAS AND CONTEMPORARY IMPORTANCE. IN A QUEST FOR SYNTHESIS AND INVESTIGATION OF SOME LESS EVIDENT ASPECTS OF FREYRE'S WORK, THIS ARTICLE INTENDS TO DEMONSTRATE THAT THE KEY THEMES OF RACE, IDENTITY, AND MODERNITY UNDERLIE THE TOPIC OF FOOD AS ADDRESSED BY FREYRE. THE RELATION BETWEEN NUTRITION AND RACE SUGGESTS THAT FOOD-BASED ARGUMENTS WERE FUNDAMENTAL TO THE SUPPLANTING OF A RACIST PARADIGM WITH A CULTURAL ONE. THE RELATION BETWEEN FOOD AND IDENTITY REVEALS THAT BRAZIL'S CUISINE EPITOMIZES THE MESTIZO CHARACTER OF ITS PEOPLE. THE RELATION BETWEEN FOOD AND MODERNITY IMPLIES THAT NATIONAL FOODWAYS MUST BE DEFENDED AGAINST THE HOMOGENIZING FORCES OF MODERNIZATION.  © 2014 BY THE LATIN AMERICAN STUDIES ASSOCIATION.",10.1353/lar.2014.0047
PRADO M;FRANCISCO P;BARROS M,2017,"USE OF PSYCHOTROPIC MEDICATIONS IN ADULTS AND ELDERLY LIVING IN CAMPINAS, SÃO PAULO, BRAZIL: CROSS-SECTIONAL POPULATION-BASED STUDY; [USO DE MEDICAMENTOS PSICOTRÓPICOS EM ADULTOS E IDOSOS RESIDENTES EM CAMPINAS, SÃO PAULO: UM ESTUDO TRANSVERSAL DE BASE POPULACIONAL]","OBJECTIVE: TO ESTIMATE THE PREVALENCE OF USE OF PSYCHOTROPIC MEDICINES AND ASSOCIATED FACTORS IN ADULTS AND ELDERLY, AND TO IDENTIFY THE MAIN CLASSES USED. METHODS: CROSS-SECTIONAL POPULATION-BASED STUDY, CONDUCTED IN CAMPINAS-SP, BRAZIL (JANUARY/2008-APRIL/2009); CHI-SQUARE RAO-SCOTT TEST AND POISSON MULTIPLE REGRESSION WERE APPLIED. RESULTS: THE STUDY INCLUDED 2,472 INDIVIDUALS AND THE PREVALENCE OF USE OF AT LEAST ONE PSYCHOTROPIC MEDICATION IN THE THREE PREVIOUS DAYS WAS 6.8% (95%CI 5.5;8.1); IN THE ADJUSTED ANALYSES, THERE WERE POSITIVE ASSOCIATIONS BETWEEN USE AND FEMALE SEX (PR=1.48; 95%CI 1.01;2.18), WORSE HEALTH PERCEPTION (PR=2.10; 95%CI 1.13;3.89), COMMON MENTAL DISORDER (PR=1.66; 95%CI 1.09;2.51) AND EMOTIONAL PROBLEMS (PR=8.04; 95%CI 4.87;13.02); BLACK/BROWN-SKINNED INDIVIDUALS PRESENTED SIGNIFICANTLY LOWER USE (PR=0.58; 95%CI 0.39;0.88); ANTIDEPRESSANTS (52.6%), ANXIOLYTICS (28.1%) AND ANTIPSYCHOTICS (17.0%) WERE THE MOST USED. CONCLUSION: INEQUALITIES REGARDING SEX AND ETHNICITY/SKIN COLOR WERE OBSERVED; THE FINDINGS CONTRIBUTE TO THE EVALUATION OF THE RATIONAL USE OF THESE DRUGS.; OBJETIVO: ESTIMAR A PREVALÊNCIA DO USO DE PSICOTRÓPICOS E FATORES ASSOCIADOS EM ADULTOS E IDOSOS, E IDENTIFICAR AS PRINCIPAIS CLASSES UTILIZADAS. MÉTODOS: ESTUDO TRANSVERSAL DE BASE POPULACIONAL, REALIZADO EM CAMPINAS-SP, BRASIL (JANEIRO/2008-ABRIL/2009); EMPREGOU-SE TESTE QUI-QUADRADO (RAO-SCOTT) E REGRESSÃO MÚLTIPLA DE POISSON. RESULTADOS: PARTICIPARAM DO ESTUDO 2.472 INDIVÍDUOS; A PREVALÊNCIA DO USO DE AO MENOS UM PSICOFÁRMACO NOS TRÊS DIAS ANTERIORES À PESQUISA FOI DE 6,8% (IC95% 5,5;8,1); NAS ANÁLISES AJUSTADAS, OBSERVARAM-SE ASSOCIAÇÕES POSITIVAS ENTRE O USO E SEXO FEMININO (RP=1,48; IC95% 1,01;2,18), PIOR PERCEPÇÃO DA SAÚDE (RP=2,10; IC95% 1,13;3,89), TRANSTORNO MENTAL COMUM (RP=1,66; IC95% 1,09;2,51) E PROBLEMAS EMOCIONAIS (RP=8,04; IC95% 4,87;13,02); PRETOS/PARDOS APRESENTARAM USO SIGNIFICATIVAMENTE MENOR (RP=0,58; IC95% 0,39;0,88); DESTACARAM-SE OS ANTIDEPRESSIVOS (52,6%), ANSIOLÍTICOS (28,1%) E ANTIPSICÓTICOS (17,0%). CONCLUSÃO: OBSERVARAM-SE DESIGUALDADES DE SEXO E DE RAÇA/COR DA PELE NO USO DE PSICOTRÓPICOS; OS ACHADOS CONTRIBUEM PARA A AVALIAÇÃO DO USO RACIONAL DESSES FÁRMACOS.; OBJETIVO: ESTIMAR LA PREVALENCIA DE USO DE DROGAS PSICOTRÓPICAS Y FACTORES ASOCIADOS EN ADULTOS Y ANCIANOS, E IDENTIFICAR LOS PRINCIPALES TIPOS UTILIZADOS. MÉTODOS: ESTUDIO POBLACIONAL TRANSVERSAL EN CAMPINAS-SP, BRASIL (ENERO/2008-ABRIL/2009); LA ASOCIACIÓN ENTRE EL USO DE PSICOTRÓPICOS Y VARIABLES INDEPENDIENTES FUE VERIFICADA USANDO LA PRUEBA DE RAO-SCOTT CON UN NIVEL DE SIGNIFICANCIA DE 5%; LAS RAZONES DE PREVALENCIA FUERON ESTIMADAS USANDO REGRESIÓN MÚLTIPLE DE POISSON. RESULTADOS: EL ESTUDIO INCLUYÓ A 2.472 PERSONAS Y LA PREVALENCIA DE UTILIZACIÓN DE FÁRMACOS EN LOS TRES DÍAS ANTERIORES FUE 6,8% (IC95% 5,5;8,1); EN ANÁLISIS AJUSTADAS OBSERVAMOS UNA ASOCIACIÓN POSITIVA ENTRE USO Y SEXO FEMENINO (OR=1,48; IC95% 1,01;2,18), PEOR SALUD PERCIBIDA (OR=2,10; IC95% 1,13;3,89), TRASTORNO MENTAL COMÚN (OR=1,66; IC95% 1,09;2,51) Y PROBLEMAS EMOCIONALES (OR=8,04; IC95% 4,87;13,02); INDIVIDUOS NEGRO/MARRÓN MOSTRARON MENOR USO (OR=0,58; IC95% 0,39;0,88); SE DESTACARON ANTIDEPRESIVOS (52,6%), ANSIOLÍTICOS (28,1%) Y ANTIPSICÓTICOS (17,0%). CONCLUSIÓN: SE OBSERVARON DESIGUALDADES DE SEXO Y RAZA/COLOR DE PIEL; SUBGRUPOS CON MAYOR PREVALENCIA DE USO QUE REQUIEREN ATENCIÓN; ESTOS RESULTADOS CONTRIBUYEN A LA EVALUACIÓN DEL USO RACIONAL.",10.5123/S1679-49742017000400007
TRINDADE A;DURANTE M,2019,"FEAR OF CRIME AND VICTIMIZATION IN THE FEDERAL DISTRICT: ANALYZING THE VULNERABILITIES OF GENDER, AGE, RACE AND INCOME; [MEDO DO CRIME E VITIMIZAÇÃO NO DISTRITO FEDERAL: ANALISANDO AS VULNERABILIDADES DE GÊNERO, IDADE, RAÇA E RENDA]","WE ANALYZE THE FEAR OF CRIME AND CRIMINAL VICTIMIZATION AMONG RESIDENTS OF THE FEDERAL DISTRICT. WE WILL USE DATA FROM THE DISTRITAL VICTIMIZATION SURVEY, CONDUCTED BETWEEN 2015 AND 2016 BY THE PUBLIC SECURITY SECRETARIAT. WE FOUND THAT THE FEAR ONLY CORRELATES WITH VICTIMIZATION BY THEFT. AS FOR THE PROFILE OF PEOPLE, INCOME PROVED TO BE THE MAIN DETERMINANT OF FEAR AND PERCEPTION OF RISK AND, ON THE OTHER HAND, AGE IS THE MAIN DETERMINANT OF CRIMINAL VICTIMIZATION. GENDER AND RACE ALSO HAVE A SIGNIFICANT IMPACT ON DETERMINING FEAR. © 2019 UNIVERSIDADE FEDERAL DO RIO DE JANEIRO. ALL RIGHTS RESERVED.",NA
ORAKA C;FAUSTINO D;OLIVEIRA E;TEIXEIRA J;DE SOUZA A;LUIZ O,2020,RACE AND OBESITY IN THE BLACK FEMALE POPULATION: A SCOPING REVIEW; [RAÇA E OBESIDADE NA POPULAÇÃO FEMININA NEGRA: UMA REVISÃO DE ESCOPO],"ABOUT 40% OF THE WORLD’S POPULATION IS OVERWEIGHT. OBESITY IS MOST PREVALENT AMONG SOCIAL STRATA WITH LOWER INCOME AND EDUCATION. ALTHOUGH THE ASSOCIATION BETWEEN SOCIODEMOGRAPHIC FACTORS AND WEIGHT GAIN IS WELL DOCUMENTED, FEW RESEARCHERS ASSOCIATED OBESITY WITH RACE/COLOR. THIS ARTICLE AIMS TO MAP THE EXTENT, SCOPE, AND NATURE OF THE ASSOCIATION BETWEEN OBESITY AND RACE IN THE SCIENTIFIC LITERATURE BY CONDUCTING A SCOPING REVIEW. DATA SOURCES WERE THE LITERATURE ANALYSIS AND RETRIEVAL SYSTEM ONLINE (MEDLINE), EXCERPTA MEDICA DATABASE (EMBASE), WEB OF SCIENCE, HEALTH INTERNETWORK ACCESS TO RESEARCH INITIATIVE (HINARI), AND SCOPUS DATABASES, AS WELL AS THE GRAY LITERATURE. IN TOTAL, 2,526 ARTICLES WERE FOUND. AFTER DUPLICATES WERE EXCLUDED AND INCLUSION AND EXCLUSION CRITERIA APPLIED, 10 ARTICLES REMAINED. RACE, OBESITY, SOCIOECONOMIC STATUS, AND GENDER ARE TIED INTO A COMPLEX RELATIONSHIP WHOSE SPECIFICITY LIES ON THE SOCIO-HISTORICAL CONTEXT. RACIAL DISPARITIES IN OBESITY MAY BE EXPLAINED BY PHYSIOLOGICAL, PSYCHOLOGICAL, AND CULTURAL EFFECTS OF STRESS DUE TO RACIAL DISCRIMINATION. ALTHOUGH RACIAL INEQUALITY HAPPENS EVERYWHERE, IT ASSUMES DIFFERENT FORMS. CONSIDERING THAT, FURTHER STUDIES SHOULD APPROACH REGIONAL DIFFERENCES. © 2020, UNIV SAOPAULO. ALL RIGHTS RESERVED.",10.1590/S0104-12902020191003
POPINIGIS F;TERRA P,2019,"CLASS, RACE AND THE SOCIAL HISTORY OF LABOR IN BRAZIL (2001-2016); [CLASSE, RAÇA E A HISTÓRIA SOCIAL DO TRABALHO NO BRASIL (2001-2016)]","IN A 1998 ARTICLE, SILVIA H. LARA MADE A HARSH CRITIQUE REGARDING THE EXCLUSION OF BLACK PEOPLE, BE THEM ENSLAVED OR FREE, FROM THE HISTORY OF LABOR IN BRAZIL. IDENTIFIED ONLY WITH FREE AND WAGE-EARNING LABOR, THIS HISTORY WOULD HAVE IGNORED THE EXPERIENCES AND STRUGGLES OF THOSE WORKERS BEFORE AND AFTER THE ABOLITION OF SLAVERY. TWENTY YEARS AFTER THE PUBLICATION OF THIS IS CRITIQUE, WHICH HAS BEEN HIGHLY INFLUENTIAL AMONG ACADEMIA, OUR GOAL IN THE PRESENT ARTICLE IS TO RESUME THIS QUESTIONING, TRYING TO IDENTIFY HOW AND TO WHAT EXTENT THE DEMAND FOR EXPANDED DIALOGUES WAS INCORPORATED INTO THE PRODUCTION OF THE WORK GROUP MUNDOS DO TRABALHO ('WORLDS OF LABOR'), WHICH IS CONNECTED TO ASSOCIAÇÃO NACIONAL DE HISTÓRIA ('NATIONAL HISTORY ASSOCIATION'), AND USING AS SOURCES THE PRODUCTION PRESENTED BY THE RESEARCHES WITHIN THIS WORK GROUP. © 2019 FUNDACAO GETULIO VARGAS. ALL RIGHTS RESERVED.",10.1590/S2178-149420190001000015
AGUIÃO S,2017,"WHICH POLICIES, WHICH SUBJECTS? MEANINGS OF THE GENDER AND RACE EQUALITY PROMOTION IN BRAZIL (2003 - 2015); [QUAIS POLÍTICAS, QUAIS SUJEITOS? SENTIDOS DA PROMOÇÃO DA IGUALDADE DE GÊNERO E RAÇA NO BRASIL(2003 - 2015)]","THIS ARTICLE DISCUSSES THE MUTUALLY CONSTITUTIVE RELATIONS BETWEEN SUBJECTS AND RIGHTS THROUGH THE ANALYSIS OF SOME OF THE GOVERNMENTAL ACTIONS TO PROMOTE GENDER AND RACE EQUALITY IN CONTEMPORARY BRAZIL (2003-2015). IT AIMS TO UNDERSTAND THE MECHANISMS OF RECOGNITION (AND PRODUCTION) OF DIFFERENCES LINKED TO A PARTICULAR CONCEPTION OF THE PROMOTION OF EQUAL RIGHTS IN SUCH STATE PROCESSES. THE PROPOSAL IS TO REFLECT ON THE COPRODUCTION AND REPRODUCTION OF MEANINGS THAT ""TRANSVERSALITY OF GENDER AND RACE"" AND THE INTERSECTIONALITY PERSPECTIVE ACQUIRES IN THE DESIGN OF PUBLIC POLICIES AND ALSO ON THE DYNAMICS OF THE MANUFACTURE OF SUBJECTS AND RIGHTS AS PART INHERENT TO THE CONTINUOUS FLOW OF MAKING STATE ITSELF. © 2018, UNIVERSIDADE ESTADUAL DE CAMPINAS UNICAMP. ALL RIGHTS RESERVED.",10.1590/18094449201700510007
DE NOVAES MARQUES T,2019,RACE AND GENDER IN THE MAGAZINE ON GUARD FOR THE DEFENSE OF THE AMERICAS. THE UNITED STATES BRAZILIANS MUST SEE; [RAÇA E GÊNERO NA REVISTA EM GUARDA PARA A DEFESA DAS AMÉRICAS. OS ESTADOS UNIDOS QUE OS BRASILEIROS DEVEM VER],"FROM AUGUST 1941 TO DECEMBER 1945, THE MAGAZINE EM GUARDA PARA A DEFESA DAS AMÉRICAS (ON GUARD FOR THE DEFENSE OF THE AMERICAS) WAS PUBLISHED IN WASHINGTON, D.C., IN PORTUGUESE AND SPANISH, AND DISTRIBUTED TO BRAZIL. THE PUBLICATION WAS PART OF THE UNITED STATES' EFFORT TO GET CLOSER TO LATIN AMERICA AND WAS PART OF THE POLITICAL PROPAGANDA ACTIONS OF THE ALLIED DURING THE YEARS OF THE WAR. ABUNDANTLY ILLUSTRATED, IN A FASHION SIMILAR TO TIME-LIFE MAGAZINE, EM GUARDA PRESENTED THE USA TO BRAZIL BY USING A TEXTUAL AND IMAGE LANGUAGE FULL OF CODES. AMONG THEM, WE EXAMINE THE IDEA OF MASCULINITY, TOGETHER WITH ITS COUNTERPART, THE IDEA OF FEMININITY, EXPRESSED IN THE IMAGES PUBLISHED IN THE MAGAZINE, AS WELL AS THE RACIAL RELATIONS MANIFESTED IN THE EDITORIAL CHOICES. © 2019 UNIVERSIDADE DO VALE DO RIO DOS SINOS. ALL RIGHTS RESERVED.",10.4013/hist.2019.233.08
LAPERA P,2019,"""FILMS ON FIRE"": CINEMA, PRESS AND SENSATIONALISM IN RIO DE JANEIRO'S BELLE ÉPOQUE; [""FITAS EM CHAMMAS"": CINEMA, IMPRENSA E SENSACIONALISMO NA BELLE ÉPOQUE CARIOCA]","THIS ARTICLE ANALYZES THE JOURNALISTIC COVERAGE ON FIRES THAT HAD PLACE IN CINEMAS IN THE TURN OF THE TWENTIETH CENTURY, WHEN SOME STRUCTURING TRAITS OF RIO DE JANEIRO'S SOCIETY EMERGED IN RELATION TO CINEMATOGRAPHIC CONSUMPTION AND TO THE ROLE OF THE PRESS. OUR MAIN QUESTION IS: HOW WAS SENSATIONALISM USED AS A KEY FACTOR IN THE INTERPRETATION OF THESE FIRES? OUR HYPOTHESIS IS THAT IT CAN BE SEEN AS A PRACTICE OF COMMUNICATION BETWEEN DIFFERENT SOCIAL GROUPS, SINCE ITS MARKS PERMEATE DIFFERENT WAYS OF EXPERIMENTING MODERNITY. WE WILL TRY TO UNDERSTAND HOW SENSATIONALISM WAS ARTICULATED AS A KEY OF INTERPRETATION IN RELATION TO CINEMATOGRAPHIC CONSUMPTION, IN A HISTORICAL MOMENT IN WHICH HIERARCHIES OF CLASS, GENDER AND RACE WERE REINFORCED BY THE LOGIC OF THE NEW OCCUPATION OF THE URBAN SPACE. © 2019, ASSOCIACAO NACIONAL DE HISTORIA.; ESTE ARTIGO ANALISA A COBERTURA JORNALÍSTICA SOBRE INCÊNDIOS EM CINEMAS NA VIRADA PARA O SÉCULO XX, QUANDO EMERGIRAM ALGUNS TRAÇOS ESTRUTURANTES DA SOCIEDADE CARIOCA NO TOCANTE AO CONSUMO CINEMATOGRÁFICO E AO PAPEL DA IMPRENSA NO RIO DE JANEIRO. A QUESTÃO PRINCIPAL É: DE QUE MODO O SENSACIONALISMO OPEROU COMO CHAVE DE LEITURA DESSES INCÊNDIOS? PARTIMOS DA HIPÓTESE DE QUE O SENSACIONALISMO PODE SER VISTO COMO UMA PRÁTICA DE COMUNICAÇÃO ENTRE DIVERSOS GRUPOS SOCIAIS, NA MEDIDA EM QUE SUAS MARCAS PERPASSAM DIFERENTES FORMAS DE EXPERIMENTAR A MODERNIDADE. BUSCAREMOS COMPREENDER COMO O SENSACIONALISMO FOI ARTICULADO COMO UMA CHAVE DE LEITURA NA RELAÇÃO COM O CONSUMO CINEMATOGRÁFICO, EM UM MOMENTO HISTÓRICO NO QUAL HIERARQUIAS DE CLASSE, GÊNERO E RAÇA SAÍRAM REFORÇADAS PELA LÓGICA DA NOVA OCUPAÇÃO DO ESPAÇO URBANO. © 2019, ASSOCIACAO NACIONAL DE HISTORIA.",10.1590/1806-93472019v39n80-03
DE CARVALHO L,2016,THE IDENTITY OF THE “COSMIC RACE”: THE EXPERIENCE OF EUGENICS IN MEXICO; [A IDENTIDADE DA “RAÇA CÓSMICA”: A EXPERIÊNCIA DA EUGENIA NO MÉXICO],[NO ABSTRACT AVAILABLE],10.1590/s0104-59702016000500019
DOMINGUES P,2018,"THIS ""MAGNANIMOUS VOLITION"": THE COLORED MEN FEDERATIO; [ESTA ""MAGNÂNIMA VOLIÇÃO"": A FEDERAÇÃO DOS HOMENS DE COR]","THE AIM OF THIS ARTICLE IS TO INVESTIGATE THE COLORED MEN FEDERATION (FHC - FEDERAÇÃO DOS HOMENS DE COR), AN ASSOCIATION WHOSE MAIN GOAL WAS TO ACT TOWARDS THE MORAL, CULTURAL, POLITICAL AND SOCIAL DEVELOPMENT OF AFRO-BRAZILIANS. THE FEDERATION WAS FOUNDED IN SÃO PAULO, IN 1909, BUT IT WAS TRANSFERRED TO RIO DE JANEIRO, IN 1920. FHC PROMOTED COLLECTIVE ACTIONS, SET AFRICAN DIASPORIC REFERENCES, ADVOCATED FOR AN EQUALITY DISCOURSE, INFLUENCED THE NATIONAL AGENDA BY SETTING DEBATES AND ALLIANCES WITH DIFFERENT SECTORS OF BRAZILIAN SOCIETY. THUS, THE AIM OF THIS ARTICLE IS TO REBUILD SOME ASPECTS OF THE TRAJECTORY OF THIS ASSOCIATION ACCORDING TO ITS ASPIRATIONS AND ORGANIZATION, STRUGGLE AND IDENTITY FORMS. © 2018 UNIVERSIDADE ESTADUAL PAULISTA.; O ARTIGO INVESTIGA A FEDERAÇÃO DOS HOMENS DE COR (FHC) - UMA ASSOCIAÇÃO CUJA FINALIDADE PRINCIPAL ERA TRABALHAR PELO DESENVOLVIMENTO MORAL, CULTURAL, POLÍTICO E SOCIAL DOS AFROBRASILEIROS -, FUNDADA EM SÃO PAULO EM 1909, MAS QUE SE TRANSFERIU PARA O RIO DE JANEIRO EM 1920. A FHC PROMOVEU AÇÕES COLETIVAS, CELEBROU REFERENCIAIS AFRODIASPÓRICOS, PRECONIZOU NARRATIVAS DE IGUALDADE, INTERVEIO NA AGENDA NACIONAL, ESTABELECENDO DIÁLOGOS E URDINDO ALIANÇAS COM DIFERENTES SETORES DA SOCIEDADE. A PROPOSTA DESTE ARTIGO É RECONSTITUIR ALGUNS ASPECTOS DA TRAJETÓRIA DESSA ASSOCIAÇÃO À LUZ DE SUAS ASPIRAÇÕES E FORMAS DE ORGANIZAÇÃO, LUTA E IDENTIDADE. © 2018 UNIVERSIDADE ESTADUAL PAULISTA.",10.1590/1980-4369e2018032
REZENDE C,2016,"IMAGINING THE EXPECTED BABY: KINSHIP, BEAUTY AND RACE IN RIO DE JANEIRO; [IMAGINANDO O BEBÊ ESPERADO: PARENTESCO, RAÇA E BELEZA NO RIO DE JANEIRO]","IN THIS ARTICLE, I EXAMINE PREGNANCY AS A MOMENT OF REVALIDATION AND ACTUALIZATION OF KINSHIP TIES. ANALYZING NARRATIVES OF MIDDLE-CLASS PREGNANT WOMEN IN RIO DE JANEIRO, I DISCUSS HOW THEY IMAGINE THE PHYSICAL APPEARANCE OF THEIR EXPECTED BABIES RESORTING TO FAMILY FEATURES. IN THINKING ABOUT THE BABY, THEY ENGAGE WITH THE CONTINUED IDENTITIES ORIGINATED IN THEIR PAST, AS THEY FACE THE FUTURE PROJECTING HIS/HER CHARACTERISTICS, IDENTITIES AND SOCIAL TIES. IN THIS PROCESS, THE ASSOCIATION BETWEEN PHYSICAL SIMILARITY AND KINSHIP IS DEBATED, SINCE THE PHYSICAL CONTINUITY BETWEEN GENERATIONS MAY OR MAY NOT BE DESIRED. IN THESE NARRATIVES, NOTIONS OF BEAUTY, RACE AND SOCIAL CLASS PRESENT IN BRAZILIAN SOCIETY AFFECT THE WAY THE EXPECTED BABY IS IMAGINED. THE DESIRED CONTINUITY BETWEEN GENERATIONS FIGURES LESS AS A REPRODUCTION AND MORE AS PERFECTED CONNECTIONS, IN WHICH THE UNDESIRED TRAITS DISAPPEAR. © CRIA.",10.4000/etnografica.4258
MARTINS R,2014,THE SONS OF CAIM: THE RACE OF OUTCASTS AND DISINHERITED IN WALTER BENJAMIN AND CHARLES BAUDELAIRE; [OS FILHOS DE CAIM: A RAÇA DOS PROSCRITOS E DESERDADOS EM WALTER BENJAMIN E CHARLES BAUDELAIRE],"THIS ARTICLE AIMS TO DEVELOP A REFLECTION ESSAY ABOUT THE PHILOSOPHICAL AND LITERARY REPRESENTATION CONCERNING THE MARGINALIZED AND OPPRESSED IN HISTORY, INSIDE THE WORKS OF CHARLES BAUDELAIRE AND WALTER BENJAMIN. THIS IS TO ASCERTAIN AND ANALYZE HOW THESE TWO AUTHORS, FROM THEIR RESPECTIVE WORKS, ALLOWED THE PROLETARIAT GRADUALLY TOOK THE SHAPE OF AN OBJECT AND PRODUCTIVE CHARACTER FOR SOCIAL AND LYRICAL REFLECTION, THUS, IN THE WAKE OF WORKS AS FLOWERS OF EVIL, THE ASSUMPTION OF THEMES DRAWN FROM A TRADITION HISTORICALLY LONG, CONNECTED, IN TURN, BY THE RECENT HISTORIOGRAPHICAL PERSPECTIVE FROM BELOW.",10.4025/actascilangcult.v36i3.20757
