TI,AU,PY,SO
"VACCINATION COVERAGE ACCORDING TO RACE OR SKIN COLOR IN CHILDREN BORN IN 2017-2018 IN NATAL, RIO GRANDE DO NORTE, BRAZIL: A POPULATION SURVEY; [COBERTURA VACINAL DE ACORDO COM O QUESITO RAÇA/COR DA PELE EM CRIANÇAS NASCIDAS EM 2017-2018 EM NATAL, RIO GRANDE DO NORTE: INQUÉRITO POPULACIONAL]; [COBERTURA DE VACUNACIÓN SEGÚN COLOR DE PIEL EN NIÑOS NACIDOS EN 2017-2018 EN NATAL, RIO GRANDE DO NORTE: ENCUESTA POBLACIONAL]",DOS S E;BARBOSA I;DE M J;FRANÇA A;DOMINGUES C;TEIXEIRA M;BEZERRA H;DE M N;ARAÚJO M;FERNANDES F;ALEXANDRINO A;BEZERRA R;DA S A;RAMOS A;JR ;OLIVEIRA A;BOING A;DE O C;MACIEL E;GUIBU I;BARBOSA I;BARBOSA J;LIMA J;LUHM K;CAETANO K;LIMA L;ANTUNES M;TEIXEIRA M;BORGES M;QUEIROZ R;GURGEL R;BARATA R;DE A R;DE O S;TELES S;DA G S;MENGUE S;SIMÕES T;NASCIMENTO V;DE A W,2024,EPIDEMIOLOGIA E SERVICOS DE SAUDE
"VARIANT HAEMOGLOBINS IN MEDICAL AND EVERYDAY DISCOURSES: RACE, NATION AND GENETICS IN CONTEMPORARY BRAZIL; [HEMOGLOBINAS VARIANTES NA ÁREA MÉDICA E NO DISCURSO COTIDIANO: UM OLHAR SOBRE RAÇA, NAÇÃO E GENÉTICA NO BRASIL CONTEMPORÂNEO12]",CALVO-GONZALEZ E,2017,SAUDE E SOCIEDADE
"VULNERABILITIES TO HIV/AIDS IN THE BRAZILIAN CONTEXT: GENDER, RACE AND GENERATION INEQUITIES; [VULNERABILIDADES AO HIV/AIDS NO CONTEXTO BRASILEIRO: INIQUIDADES DE GÊNERO, RAÇA E GERAÇÃO]",GARCIA S;DE S F,2010,SAUDE E SOCIEDADE
WAGE DISCRIMINATION OF WORKERS WITH DISABILITIES IN BRAZIL: AN INTERSECTIONAL ANALYSIS BY GENDER AND RACE/COLOR; [DISCRIMINAÇÃO SALARIAL DE TRABALHADORES(AS) COM DEFICIÊNCIA NO BRASIL: UMA ANÁLISE INTERSECCIONAL POR GÊNERO E RAÇA/COR]; [DISCRIMINACIÓN SALARIAL DE LOS TRABAJADORES(AS) CON DISCAPACIDAD EN BRASIL: UN ANÁLISIS INTERSECCIONAL POR GÉNERO Y RAZA/COLOR],SOARES J;COVRE-SUSSAI M;SENTO-SÉ I,2022,CIVITAS
"WHAT IS AT STAKE? ON SOCCER, RACE AND NATION IN BRAZIL: INTRODUCTION TO A MISSING HISTORY; [O QUE ESTÁ EM JOGO? EM TORNO DO FUTEBOL, DA RAÇA E DA NAÇÃO NO BRASIL: APRESENTAÇÃO PARA UMA HISTÓRIA AUSENTE]",MELO V;DOMINGUES P;GOMES F,2015,HISTORIA UNISINOS
WHEN FASHION IS POLITICAL: THE BLACK WOMEN AND THE MAGAZINE AFRO BRASIL; [QUANDO A MODA É POLÍTICA: AS MULHERES NEGRAS E A REVISTA AFRO BRASIL],BRAGA L;MAGALHÃES M;SCHEMES C,2018,EX AEQUO
WHEN RACE AND GENDER ARE ON FOCUS: DISCURSIVE CONFRONTATIONS ON SOCIAL NETWORK; [QUANDO A RAÇA E O GÊNERO ESTÃO EM QUESTÃO: EMBATES DISCURSIVOS EM REDE SOCIAL],DA S B R;DE M G,2019,REVISTA ESTUDOS FEMINISTAS
WHEN RACE MATTERS: A STUDY OF BLACK AND WHITE WOMEN'S DIFFERENTIAL IN ACCESS AND ATTRITION RATES WITHIN HIGHER EDUCATION; [QUANDO RAÇA CONTA: UM ESTUDO DE DIFERENÇAS ENTRE MULHERES BRANCAS E NEGRAS NO ACESSO E PERMANÊNCIA NO ENSINO SUPERIOR],HORA G J,2008,REVISTA ESTUDOS FEMINISTAS
"WHICH POLICIES, WHICH SUBJECTS? MEANINGS OF THE GENDER AND RACE EQUALITY PROMOTION IN BRAZIL (2003 - 2015); [QUAIS POLÍTICAS, QUAIS SUJEITOS? SENTIDOS DA PROMOÇÃO DA IGUALDADE DE GÊNERO E RAÇA NO BRASIL(2003 - 2015)]",AGUIÃO S,2017,CADERNOS PAGU
WOMEN AND SOCIETY: A COLLISION ROUTE BETWEEN ROLE AND SOCIAL EXPECTATION,SPENGLER F;LIMA F,2021,REVISTA BRASILEIRA DE ESTUDOS POLITICOS
"WOMEN AND THE COUNTRY OF FOOTBALL: INTERSECTIONS OF GENDER, CLASS, AND RACE IN BRAZIL; [AS MULHERES E O PAÍS DO FUTEBOL: INTERSECÇÕES DE GÊNERO, CLASSE E RAÇA NO BRASIL]; [LAS MUJERES Y EL PAÍS DEL FÚTBOL: INTERSECCIONANES DE GÉNERO, CLASE Y RAZA EN BRASIL]",MARTINS M;SANTOS S K;VASQUEZ V,2021,MOVIMENTO
"WORK, RACE AND GENDER IN THE PRODUCTION OF PHOTOGRAPHS: CONSIDERATIONS FROM A BRAZILIAN EXPERIENCE; [TRABALHO, RAÇA E GÊNERO NA PRODUÇÃO DE FOTOGRAFIAS: CONSIDERAÇÕES A PARTIR DE UMA EXPERIÊNCIA BRASILEIRA]; [TRABAJO, RAZA Y GÉNERO EN LA PRODUCCIÓN DE FOTOGRAFÍAS: CONSIDERACIONES DESDE UNA EXPERIENCIA BRASILEÑA]",TITTONI J;DE C D;DE A A,2019,CUADERNOS DE ADMINISTRACION
"WRITING BEYOND RACE: THEORY AND PRACTICE, BY BELL HOOKS; [ESCREVER ALÉM DA RAÇA: TEORIA E PRÁTICA, DE BELL HOOKS]",DE A J,2024,CADERNOS PAGU
“A MINHA VIDA NÃO PODE PARAR”: ITINERÁRIOS ABORTIVOS DE MULHERES JOVENS,LIMA N;CORDEIRO R,2020,REVISTA ESTUDOS FEMINISTAS
"“EDUCATING BY O EXEMPLO”: EDUCATION AND INTERSECTIONS OF RACE, GENDER, AND CLASS IN THE BLACK PRESS OF PORTO ALEGRE IN THE POST-ABOLITION; [“EDUCAR PEL’O EXEMPLO”: EDUCAÇÃO E INTERSECÇÕES DE RAÇA, GÊNERO E CLASSE NA IMPRENSA NEGRA DE PORTO ALEGRE NO PÓS-ABOLIÇÃO]",PERUSSATTO M,2022,ANOS 90
"“I DON’T NEED VACCINES”: RACE, CLASS AND TERRITORY AS DECISION-MAKING POSITIONS FOR COLLECTIVE HEALTH; [“EU NÃO PRECISO DE VACINAS”: RAÇA, CLASSE E TERRITÓRIO COMO POSIÇÕES DECISÓRIAS PARA SAÚDE COLETIVA]; [“YO NO NECESITO VACUNAS”: RAZA, CLASE Y TERRITORIO COMO POSICIONES DE DECISIÓN PARA LA SALUD COLECTIVA]",MINCHONI T;SCHUCMAN L,2024,"INTERFACE: COMMUNICATION, HEALTH, EDUCATION"
"“I LIVE IN A VERY BOURGEOIS WORLD, I DON’T LIVE IN THE OUTSKIRTS”: CHILDHOOD NON-VACCINATION AND THE INTERSECTION OF RACE, CLASS AND GENDER; [“EU VIVO NUM MUNDO MUITO BURGUÊS, NÃO MORO NA PERIFERIA”: NÃO VACINAÇÃO INFANTIL E A INTERSECÇÃO ENTRE RAÇA, CLASSE E GÊNERO]; [“YO VIVO EN UN MUNDO MUY BURGUÉS, NO VIVO EN LA PERIFERIA”: NO VACUNACIÓN INFANTIL Y LA INTERSECCIÓN ENTRE RAZA, CLASE Y GÉNERO]",MATOS C;TAVARES J;COUTO M,2024,"INTERFACE: COMMUNICATION, HEALTH, EDUCATION"
“RACE AND HEALTH”: BLACK FEMALE HEALTHCARE PROVIDERS IN THE COVID-19 PANDEMIC1; [“RAÇA E SAÚDE”: MULHERES NEGRAS PROFISSIONAIS DE SAÚDE NO CONTEXTO DA PANDEMIA DA COVID-19],DA S A;LEMOS A,2024,SAUDE E SOCIEDADE
"“TRIPLE USE” OF BLACK FEMALE BODIES: GENDER, RACE, ABUSE AND SLAVERY – RIO DE JANEIRO, 19TH CENTURY; [“TRÍPLICE UTILIZAÇÃO” DOS CORPOS NEGROS FEMININOS: GÊNERO, RAÇA, SEVÍCIAS E ESCRAVIDÃO – RIO DE JANEIRO, SÉCULO XIX]",VIANA I,2023,TEMPO (BRAZIL)
