TI,AU,PY,SO
COLOR/RACE INEQUALITIES IN THE AVAILABILITY OF FACILITIES FOR PHYSICAL ACTIVITIES AND SPORTS IN PUBLIC ELEMENTARY SCHOOLS IN BRAZIL; [DESIGUALDADES DE COR/RAÇA NA DISPONIBILIDADE DE INSTALAÇÕES PARA A PRÁTICA DE ATIVIDADES FÍSICAS E ESPORTES NAS ESCOLAS PÚBLICAS DE EDUCAÇÃO BÁSICA DO BRASIL]; [DESIGUALDADES DE COLOR/RAZA EN LA DISPONIBILIDAD DE INSTALACIONES PARA LA PRÁCTICA DE ACTIVIDADES FÍSICAS Y DEPORTIVAS EN ESCUELAS PÚBLICAS DE EDUCACIÓN BÁSICA EN BRASIL],DE J G;DA C M;DIAS L;FILHO V;DE O A R;BARROS A;DOS S A L;SCHRANN M,2023,REVISTA BRASILEIRA DE CIENCIAS DO ESPORTE
"CONFLICTS WITH THE PATIENT, RACE AND CONCEPTIONS HELD BY DENTAL STUDENTS: THE CASE OF UNDERGRADUATES FROM SOUTHERN BRAZIL; [CONFLITOS COM O PACIENTE, COR/RAÇA E CONCEPÇÕES DE ESTUDANTES DE ODONTOLOGIA: UMA ANÁLISE COM GRADUANDOS NO SUL DO BRASIL]",CANDIDO L;FINKLER M;BASTOS J;DE F S,2019,PHYSIS
"CRAFTING THE ""NEW NEGRO WOMAN"": FEMININITY AND RESPECTABILITY IN THE WRITINGS OF AFRICAN AMERICAN ACTIVISTS; [ESCULPINDO A ""NOVA MULHER NEGRA"": FEMINILIDADE E RESPEITABILIDADE NOS ESCRITOS DE ALGUMAS REPRESENTANTES DA RAÇA NOS EUA (1895-1904)]",XAVIER G,2013,CADERNOS PAGU
CRITICAL RACE AND DECOLONIAL THEORY INTERSECTIONS TO UNDERSTAND THE CONTEXT OF ELT IN THE GLOBAL SOUTH; [INTERSECTIONS DES THÉORIES DÉCOLONIALE ET CRITIQUE DE LA RACE POUR COMPRENDRE LE CONTEXTE DE L’ENSEIGNEMENT D’ANGLAIS AU SUD GLOBAL]; [INTERSEÇÕES DAS TEORIAS DECOLONIAL E CRÍTICA DA RAÇA PARA ENTENDER O CONTEXTO DO ENSINO DO INGLÊS NO SUL GLOBAL]; [INTERSECCIONES DE LAS TEORÍAS DECOLONIAL Y CRÍTICA DE LA RAZA PARA ENTENDER EL CONTEXTO DE LA ENSEÑANZA DEL INGLÉS EN EL SUR GLOBAL],BONILLA-MEDINA S;FINARDI K,2022,IKALA
"CUIDAR DO OUTRO, CUIDAR DA ÁGUA: GÊNERO E RAÇA NA PRODUÇÃO DA CIDADE",PIEROBON C;FERNANDES C,2023,ESTUDOS AVANCADOS
"CULINARY AND FOOD IN GILBERTO FREYRE: RACE, IDENTITY AND MODERNITY; [CULINÁRIA E ALIMENTAÇÃO EM GILBERTO FREYRE: RAÇA, IDENTIDADE E MODERNIDADE]",DA S N,2014,LATIN AMERICAN RESEARCH REVIEW
"CULINARY AND FOOD IN THE WORKS OF GILBERTO FREYRE: RACE, IDENTITY AND MODERNITY; [CULINÁRIA E ALIMENTAÇÃO EM GILBERTO FREYRE: RAÇA, IDENTIDADE E MODERNIDADE]",DA S N,2014,LATIN AMERICAN RESEARCH REVIEW
"CULTURAL PRAGMATIC IN BLACK PERSPECTIVE: RACE, MANDINGA AND BLACK-LINGUISTIC KNOWLEDGE IN THE UNIFIED BLACK MOVEMENT OF CEARÁ; [PRAGMÁTICA CULTURAL EM PERSPECTIVA PRETA: RAÇA, MANDINGA E SABERES NEGRO-LINGUÍSTICOS NO MOVIMENTO NEGRO UNIFICADO DO CEARÁ]",DO B M,2022,CADERNOS DE LINGUAGEM E SOCIEDADE
DEATH RITUALS OF TRAVESTIS AND TRANSGENDER PEOPLE: WHAT IS THAT SAYS?,SANTOS D;GONÇALVES S;DA S S;PINHEIRO A,2019,POLEM!CA
"DECODING THE INVISIBLE INK: BLACK READERSHIP OF MACHADO DE ASSIS IN THE PAGES OF GETULINO, 0 CLARIM D’ALVORADA AND A VOZ DA RAÇA (1923–1933); [DECODIFICANDO A TINTA INVISÍVEL: LEITORES NEGROS DE MACHADO DE ASSIS NAS PÁGINAS DE GETULINO, 0 CLARIM D’ALVORADA E A VOZ DA RAÇA (1923–1933)]",FLAHERTY-ECHEVERRÍA S;DE O L,2024,MACHADO DE ASSIS EM LINHA
