"";"classe 1";"classe 2";"classe 3"
"previous";2,133;-0,002;-1,752
"prevalence";10,028;-2,128;-2,34
"prepare";0,033;-0,002;-0,015
"precariousness";-1,209;-1,594;5,181
"precarious";2,133;-1,594;-0,015
"plan";-0,026;2,903;-2,34
"photograph";-1,209;1,37;-0,015
"peripheral";0,033;-0,002;-0,015
"periodical";-1,209;-1,594;5,181
"pccs";2,133;-0,002;-1,752
"path";-1,209;-1,594;5,181
"oral";-1,209;5,697;-1,752
"neighborhood";4,233;-2,128;-0,24
"multiple";0,899;0,422;-2,34
"mulata";-1,209;-0,002;1,158
"modernization";-0,026;-2,128;2,529
"medicine";2,133;-1,594;-0,015
"matrix";-1,614;-0,164;2,529
"maintain";0,033;-0,002;-0,015
"logistic";10,028;-2,128;-2,34
"list";-1,614;7,607;-2,34
"land";2,133;-1,594;-0,015
"justice";0,033;-0,002;-0,015
"item";10,028;-2,128;-2,34
"interlocutor";-0,026;-0,164;0,303
"interaction";0,033;-1,594;1,158
"insertion";-1,209;1,37;-0,015
"insert";-0,026;-2,128;2,529
"initiative";-0,026;-0,164;0,303
"indirect";4,233;-0,164;-2,34
"indigenous";0,899;-0,164;-0,24
"index";4,233;-2,128;-0,24
"inclusion";4,233;-2,128;-0,24
"imaginary";-1,614;-0,164;2,529
"homosexual";10,028;-2,128;-2,34
"historiographical";-1,209;-0,002;1,158
"hide";-1,614;-2,128;6,918
"hetero";7,51;-1,594;-1,752
"genocide";-1,209;5,697;-1,752
"function";-1,614;7,607;-2,34
"foundation";-1,614;-0,164;2,529
"fortaleza";2,133;-1,594;-0,015
"formal";-0,026;0,422;-0,24
"finding";4,233;-0,164;-2,34
"fight";-1,209;5,697;-1,752
"extent";-1,614;2,903;-0,24
"expose";0,033;-0,002;-0,015
"expectation";-1,209;5,697;-1,752
"european";-1,209;-0,002;1,158
"equitable";0,899;-0,164;-0,24
"epidemiological";7,51;-1,594;-1,752
"ensure";-1,209;5,697;-1,752
"elementary";10,028;-2,128;-2,34
"elaboration";-1,209;-1,594;5,181
"elaborate";-1,209;-1,594;5,181
"efficacy";2,133;-0,002;-1,752
"dose";7,51;-1,594;-1,752
