"";"Coord. facteur 1";"Coord. facteur 2";"Corr. facteur 1";"Corr. facteur 2";"COR -facteur 1";"COR -facteur 2";"CTR -facteur 1";"CTR -facteur 2";"mass";"chi.distance";"inertie"
"*de_oliveira_v";2,62699622040106;-0,225397279711269;0,996339346345391;-0,0854862967032631;NA;NA;NA;NA;NA;1,5755329945347;NA
"*de_oliveira_d";-0,92929451180251;2,41984676492325;-0,358503236221123;0,933528483560615;NA;NA;NA;NA;NA;1,28932109165048;NA
"*costa_t";-0,968247621547907;1,7165355137793;-0,491300222598952;0,870990293444319;NA;NA;NA;NA;NA;1,00823075086647;NA
"*severo_c";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"*makoni_s";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"*cristiellen_r_r_m";0,848850854299275;1,09722474260599;0,611896662480811;0,790937718436063;NA;NA;NA;NA;NA;0,732231707562957;NA
"*quezado_c_l_m";0,848850854299275;1,09722474260599;0,611896662480811;0,790937718436063;NA;NA;NA;NA;NA;0,732231707562957;NA
"*mariz_s";-0,92929451180251;2,41984676492325;-0,358503236221123;0,933528483560615;NA;NA;NA;NA;NA;1,28932109165048;NA
"*vasconcelos_f";-0,92929451180251;2,41984676492325;-0,358503236221123;0,933528483560615;NA;NA;NA;NA;NA;1,28932109165048;NA
"*da_silva_a";0,880757510069495;-0,898045704498278;0,700201338613029;-0,713945435873444;NA;NA;NA;NA;NA;0,681234493044093;NA
"*lemos_a";-1,14743192637674;-1,51869624148287;-0,602823906594119;-0,797874261797312;NA;NA;NA;NA;NA;1,0021641612395;NA
"*guimarães_a";-0,710001322691045;-0,306267018544026;-0,918215004727511;-0,396082321106682;NA;NA;NA;NA;NA;0,449602315204085;NA
"*ribeiro_a";-1,20196628002029;-2,50333199308439;-0,432838454199658;-0,901471504023311;NA;NA;NA;NA;NA;1,40191779971328;NA
"*malfrán_y";-0,92929451180251;2,41984676492325;-0,358503236221123;0,933528483560615;NA;NA;NA;NA;NA;1,28932109165048;NA
"*boscatti_a";-0,92929451180251;2,41984676492325;-0,358503236221123;0,933528483560615;NA;NA;NA;NA;NA;1,28932109165048;NA
"*navarro_p";-0,92929451180251;2,41984676492325;-0,358503236221123;0,933528483560615;NA;NA;NA;NA;NA;1,28932109165048;NA
"*arañó_y";-0,92929451180251;2,41984676492325;-0,358503236221123;0,933528483560615;NA;NA;NA;NA;NA;1,28932109165048;NA
"*petschelies_e";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"*souza_v";-1,02018510120844;0,778787178920699;-0,794866743084881;0,606784031379892;NA;NA;NA;NA;NA;0,716067115620074;NA
"*zullo_g";-0,92929451180251;2,41984676492325;-0,358503236221123;0,933528483560615;NA;NA;NA;NA;NA;1,28932109165048;NA
"*almeida_p";-0,92929451180251;2,41984676492325;-0,358503236221123;0,933528483560615;NA;NA;NA;NA;NA;1,28932109165048;NA
"*colombini_i";-0,983828865446067;1,43521101332172;-0,565404892437714;0,82481349868167;NA;NA;NA;NA;NA;0,906927903532568;NA
"*gomes_n";-1,03836321908962;0,45057526172019;-0,91735636470537;0,398066954336263;NA;NA;NA;NA;NA;0,657955438156257;NA
"*conte_g_p";-0,92929451180251;2,41984676492325;-0,358503236221123;0,933528483560615;NA;NA;NA;NA;NA;1,28932109165048;NA
"*pizzinato_a";-0,92929451180251;2,41984676492325;-0,358503236221123;0,933528483560615;NA;NA;NA;NA;NA;1,28932109165048;NA
"*silva_d";-0,92929451180251;2,41984676492325;-0,358503236221123;0,933528483560615;NA;NA;NA;NA;NA;1,28932109165048;NA
"*dziuba_a";-0,92929451180251;2,41984676492325;-0,358503236221123;0,933528483560615;NA;NA;NA;NA;NA;1,28932109165048;NA
"*trapp_r";-1,0072007312933;1,01322426263535;-0,704995537247095;0,709211740217039;NA;NA;NA;NA;NA;0,774862937227878;NA
"*campos_l";-0,71593227592508;-1,15618841204124;-0,526459123066089;-0,850200442096148;NA;NA;NA;NA;NA;0,701718757139838;NA
"*de_lima_c";-1,20196628002029;-2,50333199308439;-0,432838454199658;-0,901471504023311;NA;NA;NA;NA;NA;1,40191779971328;NA
"*cunha_r";-1,20196628002029;-2,50333199308439;-0,432838454199658;-0,901471504023311;NA;NA;NA;NA;NA;1,40191779971328;NA
"*leite_i";-1,20196628002029;-2,50333199308439;-0,432838454199658;-0,901471504023311;NA;NA;NA;NA;NA;1,40191779971328;NA
"*nogueira_m";-1,20196628002029;-2,50333199308439;-0,432838454199658;-0,901471504023311;NA;NA;NA;NA;NA;1,40191779971328;NA
"*da_cruz_d";-1,20196628002029;-2,50333199308439;-0,432838454199658;-0,901471504023311;NA;NA;NA;NA;NA;1,40191779971328;NA
"*rodrigues_g";-1,13379833796585;-1,27253730358248;-0,665233284653466;-0,746635571741101;NA;NA;NA;NA;NA;0,913465603202687;NA
"*dos_santos_p";-1,13379833796585;-1,27253730358248;-0,665233284653466;-0,746635571741101;NA;NA;NA;NA;NA;0,913465603202687;NA
"*paulla_m";-1,13379833796585;-1,27253730358248;-0,665233284653466;-0,746635571741101;NA;NA;NA;NA;NA;0,913465603202687;NA
"*do_bonfim_m";-0,92929451180251;2,41984676492325;-0,358503236221123;0,933528483560615;NA;NA;NA;NA;NA;1,28932109165048;NA
"*matos_c";-1,02018510120844;0,778787178920699;-0,794866743084881;0,606784031379892;NA;NA;NA;NA;NA;0,716067115620074;NA
