"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"370";3;5;6;9;10;13;15;16;18
"371";3;5;6;9;10;13;15;16;18
"372";3;5;6;9;10;13;15;17;17
"373";3;5;7;7;7;7;7;7;7
"374";3;5;6;9;10;13;14;14;14
"375";3;5;7;7;7;7;7;7;7
"376";3;5;6;9;10;13;14;14;14
"377";3;5;7;7;7;7;7;7;7
"378";3;5;6;9;10;13;15;17;17
"379";3;5;6;9;10;13;15;16;18
"380";3;5;7;7;7;7;7;7;7
"381";3;5;6;9;10;13;15;16;18
"382";3;5;6;9;10;13;15;16;18
"383";3;5;6;9;10;13;14;14;14
"384";3;5;6;9;10;13;15;16;18
"385";3;4;4;4;4;4;4;4;4
"386";3;5;6;9;10;13;15;16;18
"387";3;4;4;4;4;4;4;4;4
"388";3;5;6;9;10;13;15;16;18
"389";3;5;6;9;10;13;15;16;18
"390";3;5;6;9;10;13;15;16;18
"391";3;5;6;9;10;13;15;16;18
"392";3;5;6;9;10;13;15;16;18
"393";3;5;6;9;10;13;15;16;18
"394";3;4;4;4;4;4;4;4;4
"395";3;4;4;4;4;4;4;4;4
"396";3;4;4;4;4;4;4;4;4
"397";3;4;4;4;4;4;4;4;4
"398";3;4;4;4;4;4;4;4;4
"399";3;5;6;9;10;13;15;16;19
"400";3;5;6;9;10;13;15;16;18
"401";3;5;6;9;10;13;15;16;18
"402";3;4;4;4;4;4;4;4;4
"403";3;4;4;4;4;4;4;4;4
"404";3;4;4;4;4;4;4;4;4
"405";3;5;6;9;10;13;14;14;14
"406";3;5;6;9;10;13;15;16;18
"407";3;5;7;7;7;7;7;7;7
"408";3;4;4;4;4;4;4;4;4
"409";3;5;6;9;10;13;14;14;14
"410";3;5;6;9;10;13;14;14;14
"411";3;5;6;9;11;11;11;11;11
"412";3;5;6;9;10;13;15;16;18
"413";3;5;6;9;10;13;15;16;18
"414";3;5;6;9;10;13;14;14;14
"415";3;5;7;7;7;7;7;7;7
"416";3;5;6;9;10;13;14;14;14
"417";3;5;6;9;10;13;14;14;14
"418";3;5;6;9;10;13;14;14;14
"419";3;5;6;9;10;13;15;16;18
"420";3;5;6;9;10;13;15;16;18
"421";3;5;7;7;7;7;7;7;7
"422";3;5;6;9;10;13;15;16;19
"423";3;4;4;4;4;4;4;4;4
"424";3;4;4;4;4;4;4;4;4
"425";3;5;6;9;10;13;15;16;18
"426";3;4;4;4;4;4;4;4;4
"427";3;4;4;4;4;4;4;4;4
"428";3;4;4;4;4;4;4;4;4
"429";3;4;4;4;4;4;4;4;4
"430";3;5;7;7;7;7;7;7;7
"431";2;2;2;2;2;2;2;2;2
"432";2;2;2;2;2;2;2;2;2
"433";2;2;2;2;2;2;2;2;2
"434";2;2;2;2;2;2;2;2;2
"435";3;5;7;7;7;7;7;7;7
"436";2;2;2;2;2;2;2;2;2
"437";2;2;2;2;2;2;2;2;2
"438";2;2;2;2;2;2;2;2;2
"439";2;2;2;2;2;2;2;2;2
"440";2;2;2;2;2;2;2;2;2
"441";3;5;6;9;10;13;14;14;14
"442";3;5;6;9;10;13;15;16;18
"443";3;5;6;9;10;13;15;17;17
"444";0;0;0;0;0;0;0;0;0
"445";3;5;6;9;10;13;14;14;14
"446";3;5;6;9;10;13;15;17;17
"447";3;5;6;9;10;13;15;16;18
